   distr       mode         NMED         MRED     SNR_dB         bias     bias_%      maxED
------------------------------------------------------------------------------------------------
 uniform   standard    0.000e+00    0.000e+00        inf    0.000e+00    0.0000%          0
 uniform      exact    0.000e+00    0.000e+00        inf    0.000e+00    0.0000%          0
 uniform   approx_1    3.336e-06    1.302e-04      84.14   -9.225e+00   -0.0000%     131072
 uniform   approx_2    5.613e-05    1.633e-03      59.74    7.013e+02    0.0003%    2226796
 uniform   approx_3    9.037e-04    1.654e-02      35.61    9.563e+03    0.0036%   35749896
 uniform   approx_4    3.615e-03    4.705e-02      23.57    4.079e+04    0.0152%  142859808
   gauss   standard    0.000e+00    0.000e+00        inf    0.000e+00    0.0000%          0
   gauss      exact    0.000e+00    0.000e+00        inf    0.000e+00    0.0000%          0
   gauss   approx_1    1.304e-06    3.771e-04      76.65   -8.317e-01   -0.0000%     131072
   gauss   approx_2    2.194e-05    4.424e-03      52.27    3.855e+02    0.0009%    2097152
   gauss   approx_3    3.529e-04    3.844e-02      28.14    2.555e+02    0.0006%   34742016
   gauss   approx_4    1.541e-03    7.331e-02      15.64    1.206e+03    0.0030%  136443009
